,rx_sign,Count,gridRef
276,OE9GHV,636,JN47wk
279,OE9XRV,564,JN47um
184,HB9TMC,549,JN46lj
58,DK6UG,542,JN49cm
185,HB9VQQ,519,JN47kh
87,DL4ZBE,499,JO40ba
338,PD0OHW,485,JO33lc
345,PE0MJX,479,JO31ai
187,HB9VQQ/KL,477,JN47kh
190,HB9VQQ/RL,475,JN47kh
155,G4ZFQ,475,IO90ir
188,HB9VQQ/KS,474,JN47kh
191,HB9VQQ/RS,471,JN47kh
150,G4HZX,468,IO91xk
59,DK8FT,466,JN58oe
45,DJ2DS-1,463,JO33sn
85,DL4RU,455,JN69cr
133,G0KTN,454,IO81ti
289,OH6BG,448,KP03qa
270,OE3GBB/Q2,437,JN87aq
32,DF1DR,430,JO31rm
358,SA6BSS/HL,428,JO68sc
118,F4VTQ,428,JN28ux
47,DJ6DK,427,JN48fw
67,DL0PF,423,JN68rn
247,M7DOY,410,IO82vc
320,PA1JMS,406,JO21cx
301,ON5KQ,402,JO10os
186,HB9VQQ/KE,401,JN47kh
189,HB9VQQ/RE,394,JN47kh
29,DD5XX,391,JN48ps
278,OE9TAV,389,JN47tk
356,SA4BNA,383,JO69go
23,DC5AL-R,378,JO31lk
353,PI4THT,376,JO32kf
352,PI4RSZ,375,JO21hp
316,PA0SLT/4,373,JO33kg
79,DL2ZZ,372,JO31lo
13,DARCT13,366,JN47wn
308,OZ7IT,365,JO65df
304,ONL12087,359,JO11lf
51,DK2DB,358,JN48fw
158,G7JUR,356,IO91of
315,PA0SLT/3,351,JO33kf
317,PA0SLT/5,350,JO33kg
105,EA8BFK,347,IL38bo
20,DC1RDB,347,JN58ss
284,OH3LMN/KIWI,343,KP11wm
68,DL1BAJ,332,JO43ap
273,OE3XOE,332,JN87aq
366,SWLJO22,326,JO22rd
124,F4VTQ/S,322,JN28ux
181,HB9GZW,319,JN47bj
53,DK4RW/1,317,JO40oe
38,DF8OE,313,JO42jr
328,PA4HJH,312,JO22su
80,DL3EL,309,JO40hd
49,DJ9BS,305,JN39pr
227,LA6LLA,302,JO49vx
70,DL1ECN-8,295,JO32uo
364,SWL/HU1UB,291,JO21jn
314,PA0RDT,285,JO11tm
65,DL0BR/1,285,JO43jb
123,F4VTQ/R,282,JN28ux
50,DK0ABT,276,JN49pb
192,I0UVN,263,JN61nl
159,G7UVW,262,JO01bn
170,GM4DIJ,262,IO85iw
164,G8URE,261,IO90qu
183,HB9JBP,261,JN47hj
231,LX1LC,259,JN39ep
102,EA1FAQ,257,IN71pn
318,PA0SLT/A,256,JO22xx
140,G3VPW,255,IO91gp
122,F4VTQ/M,249,JN28ux
0,2E0DSS,246,IO82xl
332,PA5KT-15,231,JO11wl
26,DC7TO,229,JO62qk
121,F4VTQ/K,228,JN28ux
2,2E0ILY/KIWI,227,IO82qv
