,Time,Mean,Min,Max,Spots
0,2025-08-17 20:00:00,863.85,135,3100,576
1,2025-08-17 21:00:00,878.0,135,3100,613
2,2025-08-17 22:00:00,937.96,247,3114,600
3,2025-08-17 23:00:00,1056.28,135,5464,461
4,2025-08-18 00:00:00,1172.05,247,5773,483
5,2025-08-18 01:00:00,1009.1,247,5354,486
6,2025-08-18 02:00:00,1051.89,371,6207,492
7,2025-08-18 03:00:00,1255.64,375,5773,436
8,2025-08-18 04:00:00,1229.68,402,5773,373
9,2025-08-18 05:00:00,1131.76,327,5773,436
10,2025-08-18 06:00:00,951.62,186,5773,352
11,2025-08-18 07:00:00,795.35,146,5299,410
12,2025-08-18 08:00:00,745.06,146,1743,288
13,2025-08-18 09:00:00,731.7,146,1638,212
14,2025-08-18 10:00:00,749.0,146,1638,316
15,2025-08-18 11:00:00,710.89,146,1638,315
16,2025-08-18 12:00:00,691.64,146,1638,304
17,2025-08-18 13:00:00,703.89,146,1638,292
18,2025-08-18 14:00:00,719.61,146,1743,359
19,2025-08-18 15:00:00,763.42,146,1638,443
20,2025-08-18 16:00:00,761.8,146,1638,465
21,2025-08-18 17:00:00,806.0,146,3100,513
22,2025-08-18 18:00:00,808.45,146,3100,461
23,2025-08-18 19:00:00,906.64,146,13984,537
24,2025-08-18 20:00:00,878.56,135,13984,568
25,2025-08-18 21:00:00,860.39,135,3100,563
26,2025-08-18 22:00:00,908.25,135,5299,488
27,2025-08-18 23:00:00,1174.31,135,6092,482
28,2025-08-19 00:00:00,1627.1,246,6207,256
29,2025-08-19 01:00:00,2246.49,327,5773,201
30,2025-08-19 02:00:00,2243.56,327,6207,190
31,2025-08-19 03:00:00,2142.62,247,6092,263
32,2025-08-19 04:00:00,1711.34,247,5995,264
33,2025-08-19 05:00:00,1937.08,803,6207,313
34,2025-08-19 06:00:00,1539.74,531,6207,351
35,2025-08-19 07:00:00,965.59,246,5464,451
36,2025-08-19 08:00:00,731.6,146,1655,357
37,2025-08-19 09:00:00,726.42,146,1655,446
38,2025-08-19 10:00:00,669.02,146,1638,220
39,2025-08-19 11:00:00,716.04,146,1638,252
40,2025-08-19 12:00:00,657.51,143,1638,321
41,2025-08-19 13:00:00,646.15,143,1638,332
42,2025-08-19 14:00:00,699.89,143,1638,332
43,2025-08-19 15:00:00,744.11,143,1743,336
44,2025-08-19 16:00:00,801.32,143,1684,512
45,2025-08-19 17:00:00,753.59,143,3100,343
46,2025-08-19 18:00:00,825.74,143,3100,589
47,2025-08-19 19:00:00,871.28,143,16184,443
48,2025-08-19 20:00:00,930.12,135,13984,584
49,2025-08-19 21:00:00,863.51,135,13984,557
50,2025-08-19 22:00:00,1040.33,135,13984,550
51,2025-08-19 23:00:00,1396.58,517,13984,266
52,2025-08-20 00:00:00,1860.48,871,13984,261
53,2025-08-20 01:00:00,3040.23,985,13984,150
54,2025-08-20 02:00:00,2997.07,1208,13984,54
55,2025-08-20 03:00:00,2113.7,1121,13984,74
56,2025-08-20 04:00:00,1673.46,871,13984,128
57,2025-08-20 05:00:00,1667.12,581,13984,207
58,2025-08-20 06:00:00,1038.9,375,5756,338
59,2025-08-20 07:00:00,847.41,285,5459,464
60,2025-08-20 08:00:00,779.51,146,1743,418
61,2025-08-20 09:00:00,675.77,146,1653,260
62,2025-08-20 10:00:00,646.7,21,1638,223
63,2025-08-20 11:00:00,612.41,146,1638,198
64,2025-08-20 12:00:00,696.58,146,1638,187
65,2025-08-20 13:00:00,672.46,21,1638,262
66,2025-08-20 14:00:00,665.18,21,1743,258
67,2025-08-20 15:00:00,708.31,21,1743,301
68,2025-08-20 16:00:00,781.97,21,2092,487
69,2025-08-20 17:00:00,802.2,21,1848,530
70,2025-08-20 18:00:00,915.75,21,16184,331
71,2025-08-20 19:00:00,917.07,21,16184,610
72,2025-08-20 20:00:00,838.92,135,3100,495
73,2025-08-20 21:00:00,903.09,135,5299,561
74,2025-08-20 22:00:00,1151.29,151,5354,455
75,2025-08-20 23:00:00,1745.05,581,6207,313
76,2025-08-21 00:00:00,1624.65,611,6092,291
77,2025-08-21 01:00:00,2243.44,581,13984,319
78,2025-08-21 02:00:00,2487.92,581,13984,333
79,2025-08-21 03:00:00,3230.01,570,6966,204
80,2025-08-21 04:00:00,2479.53,878,13984,227
81,2025-08-21 05:00:00,2032.78,680,18408,348
82,2025-08-21 06:00:00,1192.92,467,5756,328
83,2025-08-21 07:00:00,974.88,375,5459,275
84,2025-08-21 08:00:00,850.18,14,1638,316
85,2025-08-21 09:00:00,822.05,246,1638,319
86,2025-08-21 10:00:00,782.48,160,1638,311
87,2025-08-21 11:00:00,801.0,150,1638,218
88,2025-08-21 12:00:00,785.11,21,1638,325
89,2025-08-21 13:00:00,750.08,21,1638,240
90,2025-08-21 14:00:00,775.5,21,1743,308
91,2025-08-21 15:00:00,807.19,21,1643,410
92,2025-08-21 16:00:00,815.12,21,2092,389
93,2025-08-21 17:00:00,822.22,146,3100,461
94,2025-08-21 19:00:00,1110.11,146,16184,370
95,2025-08-21 20:00:00,1003.59,14,16184,593
96,2025-08-21 21:00:00,1097.55,135,16184,636
97,2025-08-21 22:00:00,1278.73,570,13984,395
98,2025-08-21 23:00:00,1228.15,803,5459,291
99,2025-08-22 00:00:00,1728.67,160,6207,350
100,2025-08-22 01:00:00,1592.08,803,6207,186
101,2025-08-22 02:00:00,2634.79,871,6092,97
102,2025-08-22 03:00:00,2631.55,803,5995,152
103,2025-08-22 04:00:00,2275.72,803,13984,165
104,2025-08-22 05:00:00,1614.83,609,5995,229
105,2025-08-22 06:00:00,1068.75,411,5756,346
106,2025-08-22 07:00:00,1052.6,375,5421,339
107,2025-08-22 08:00:00,822.83,146,1638,480
108,2025-08-22 09:00:00,736.58,146,1638,152
109,2025-08-22 10:00:00,782.36,150,1638,381
110,2025-08-22 11:00:00,771.03,246,1638,261
111,2025-08-22 12:00:00,734.32,285,1571,260
112,2025-08-22 13:00:00,728.41,146,1638,252
113,2025-08-22 14:00:00,770.65,151,1638,308
114,2025-08-22 15:00:00,786.78,246,1638,309
115,2025-08-22 16:00:00,855.28,246,1653,403
116,2025-08-22 17:00:00,888.58,160,16774,353
117,2025-08-22 18:00:00,1117.08,146,16774,448
118,2025-08-22 19:00:00,1028.56,14,16774,562
